"loop_id,""loop"",""length"",""sign"",""polarity"",""length_bin"""
"118,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Quality Improvement -> Discharge Planning Quality"",11,1,""reinforcing"",""long_9_to_16"""
"119,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",11,1,""reinforcing"",""long_9_to_16"""
"120,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs"",11,1,""reinforcing"",""long_9_to_16"""
"121,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure"",11,1,""reinforcing"",""long_9_to_16"""
"122,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions"",11,1,""reinforcing"",""long_9_to_16"""
"123,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",11,1,""reinforcing"",""long_9_to_16"""
"124,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions"",11,1,""reinforcing"",""long_9_to_16"""
"125,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",11,-1,""balancing"",""long_9_to_16"""
"126,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",11,-1,""balancing"",""long_9_to_16"""
"127,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",11,-1,""balancing"",""long_9_to_16"""
"128,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality"",11,-1,""balancing"",""long_9_to_16"""
"129,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",11,-1,""balancing"",""long_9_to_16"""
"130,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",12,1,""reinforcing"",""long_9_to_16"""
"131,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure"",12,1,""reinforcing"",""long_9_to_16"""
"132,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions"",12,1,""reinforcing"",""long_9_to_16"""
"133,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",12,-1,""balancing"",""long_9_to_16"""
"134,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",12,-1,""balancing"",""long_9_to_16"""
"135,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"136,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"137,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"138,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"139,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"140,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"141,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"142,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality"",12,-1,""balancing"",""long_9_to_16"""
"143,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",12,-1,""balancing"",""long_9_to_16"""
"144,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",13,-1,""balancing"",""long_9_to_16"""
"145,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",13,-1,""balancing"",""long_9_to_16"""
"146,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",13,-1,""balancing"",""long_9_to_16"""
"147,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",13,-1,""balancing"",""long_9_to_16"""
"148,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",13,-1,""balancing"",""long_9_to_16"""
"149,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",14,-1,""balancing"",""long_9_to_16"""
"150,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",14,-1,""balancing"",""long_9_to_16"""
"151,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",14,-1,""balancing"",""long_9_to_16"""
"152,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",15,-1,""balancing"",""long_9_to_16"""
"153,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",15,-1,""balancing"",""long_9_to_16"""
"154,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",15,-1,""balancing"",""long_9_to_16"""
"155,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",16,-1,""balancing"",""long_9_to_16"""
